INFO   | jvm 1    | main    | 2016/07/05 13:30:47.113 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (core) located in (core-spring.xml,persistence-spring.xml,core-media-spring.xml,core-profiling-spring.xml,core-jmx-spring.xml,core-filter-spring.xml,servicelayer-spring.xml,user-spring.xml,security-spring.xml,media-spring.xml,i18n-spring.xml,interceptor-spring.xml,event-spring.xml) took: (191.7 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.113 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (scripting) located in (scripting-spring.xml) took: (9.018 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.113 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (commons) located in (commons-spring.xml) took: (9.105 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.214 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (processing) located in (processing-spring.xml,cronjob-spring.xml,task-spring.xml,processengine-spring.xml,processing-jmx-spring.xml,processing-distributed-spring.xml) took: (60.94 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.214 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (impex) located in (impex-spring.xml) took: (13.66 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.214 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (validation) located in (validation-spring.xml) took: (15.67 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.214 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (europe1) located in (europe1-spring.xml) took: (12.56 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.319 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (platformservices) located in (catalog-spring.xml,order-spring.xml,product-spring.xml,category-spring.xml,classification-spring.xml,jobs-spring.xml,converters-spring.xml) took: (78.19 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.320 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (workflow) located in (workflow-spring.xml) took: (8.734 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.320 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (hac) located in (hac-spring.xml) took: (8.843 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.320 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (comments) located in (comments-spring.xml) took: (8.895 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.320 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (ldap) located in (ldap-spring.xml) took: (7.500 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.420 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (mediaconversion) located in (mediaconversion-spring.xml) took: (11.77 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.420 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (platformhmc) located in (platformhmc-spring.xml) took: (6.138 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.420 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (cockpit) located in (cockpit-spring.xml) took: (11.89 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.420 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (mcc) located in (mcc-spring.xml) took: (6.704 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.420 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (backoffice) located in (backoffice-spring.xml) took: (11.70 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.420 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (platformbackoffice) located in (platformbackoffice-spring.xml) took: (15.64 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.420 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (admincockpit) located in (admincockpit-spring.xml) took: (8.617 ms)
INFO   | jvm 1    | main    | 2016/07/05 13:30:47.929 | [m
INFO   | jvm 1    | main    | 2016/07/05 13:30:49.056 | [32mINFO  [localhost-startStop-1] [DefaultCacheController] Registered Listener de.hybris.platform.media.storage.impl.DefaultLocalMediaFileCacheService$MediaCacheLifecycleCallback@377554ac on cache controller. Currently registered 2
INFO   | jvm 1    | main    | 2016/07/05 13:30:49.566 | [m
INFO   | jvm 1    | main    | 2016/07/05 13:30:50.379 | [32mINFO  [localhost-startStop-1] [Reflections] Reflections took 48 ms to scan 1 urls, producing 9 keys and 16 values 
INFO   | jvm 1    | main    | 2016/07/05 13:30:50.379 | [m[32mINFO  [localhost-startStop-1] [Reflections] Reflections took 1 ms to scan 1 urls, producing 2 keys and 5 values 
INFO   | jvm 1    | main    | 2016/07/05 13:30:50.904 | [m
INFO   | jvm 1    | main    | 2016/07/05 13:30:51.723 | [33mWARN  [localhost-startStop-1] [PersistentKeyGenerator] cockpitSavedQuery generator is using deprecated 'numeric' property! Initializing as alphanumeric
INFO   | jvm 1    | main    | 2016/07/05 13:30:52.136 | [m[32mINFO  [localhost-startStop-1] [StatisticsService] adding chart memoryChart
INFO   | jvm 1    | main    | 2016/07/05 13:30:52.136 | [m[32mINFO  [localhost-startStop-1] [StatisticsService] adding chart threadsChart
INFO   | jvm 1    | main    | 2016/07/05 13:30:52.136 | [m[32mINFO  [localhost-startStop-1] [StatisticsService] adding chart osChart
INFO   | jvm 1    | main    | 2016/07/05 13:30:52.136 | [m[32mINFO  [localhost-startStop-1] [StatisticsService] adding chart sessionsChart
INFO   | jvm 1    | main    | 2016/07/05 13:30:52.136 | [m[32mINFO  [localhost-startStop-1] [StatisticsService] adding chart taskQueueSizeChart_master
INFO   | jvm 1    | main    | 2016/07/05 13:30:52.136 | [m[32mINFO  [localhost-startStop-1] [StatisticsService] adding chart taskQueuePoolingSizeChart_master
INFO   | jvm 1    | main    | 2016/07/05 13:30:52.136 | [m[32mINFO  [localhost-startStop-1] [StatisticsService] adding chart dbConnectionsInUseChart_master
INFO   | jvm 1    | main    | 2016/07/05 13:30:52.648 | [m
INFO   | jvm 1    | main    | 2016/07/05 13:30:53.578 | [32mINFO  [localhost-startStop-1] [HybrisContextFactory] - Refreshing SpringContext (hybris Application context - master) took: (6.163 s)
INFO   | jvm 1    | main    | 2016/07/05 13:30:53.578 | [m[32mINFO  [localhost-startStop-1] [HybrisContextFactory] Initializing application Spring ApplicationContext for tenant master  took: (6.670 s)
INFO   | jvm 1    | main    | 2016/07/05 13:30:53.578 | [m[32mINFO  [AfterSaveEventPublisher-master] [DefaultBroadcastService] updating cluster island ID -1->0
INFO   | jvm 1    | main    | 2016/07/05 13:30:53.679 | [m[33mWARN  [AfterSaveEventPublisher-master] [DefaultTaskService] System not initialized. Not starting task module.
INFO   | jvm 1    | main    | 2016/07/05 13:30:54.087 | [m[32mINFO  [localhost-startStop-1] [RemoveDefaultSessionFixationStrategyBeanPostProcessor] Removed Spring default SessionFixationProtectionStrategy, since HybrisSessionFixationProtectionStrategy is already defined
INFO   | jvm 1    | main    | 2016/07/05 13:30:54.294 | [m[32mINFO  [localhost-startStop-1] [HybrisContextLoaderListener] Registered HttpSession timeout listener for '/'
INFO   | jvm 1    | main    | 2016/07/05 13:30:54.812 | [m
INFO   | jvm 1    | main    | 2016/07/05 13:30:55.222 | [32mINFO  [localhost-startStop-1] [Version] HV000001: Hibernate Validator 4.3.2.Final
INFO   | jvm 1    | main    | 2016/07/05 13:30:55.735 | [m
INFO   | jvm 1    | main    | 2016/07/05 13:30:56.458 | [32mINFO  [localhost-startStop-1] (junit) [AbstractTenant] Created master data source DataSourceImpl<<junit/master>>
INFO   | jvm 1    | main    | 2016/07/05 13:30:56.458 | [m[32mINFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "alt1"
INFO   | jvm 1    | main    | 2016/07/05 13:30:56.458 | [m[32mINFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "alt2"
INFO   | jvm 1    | main    | 2016/07/05 13:30:56.458 | [m[32mINFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "a"
INFO   | jvm 1    | main    | 2016/07/05 13:30:56.458 | [m[32mINFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "b"
INFO   | jvm 1    | main    | 2016/07/05 13:30:56.458 | [m[32mINFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "c"
